ACS,Kills,Deaths,Assists,Difference,KAST,ADR,HS,FK,FD,Diff
205,33,28,15,5,74%,138,24%,1,4,-3
205,18,12,4,6,61%,138,30%,0,2,-2
205,16,15,6,1,83%,152,32%,2,1,1
205,41,36,12,5,69%,139,39%,1,6,-5
205,52,46,31,6,76%,133,29%,9,8,1
205,53,47,14,6,69%,140,18%,11,8,3
205,35,42,8,-7,58%,133,18%,3,8,-5
205,42,44,10,-2,70%,129,14%,9,2,7
205,30,37,8,-7,67%,127,20%,9,6,3
205,33,30,8,3,67%,129,45%,5,4,1
205,30,35,6,-5,57%,126,19%,5,6,-1
205,15,8,4,7,76%,145,18%,1,1,0
205,43,53,20,-10,72%,140,28%,10,14,-4
206,24,34,15,-10,69%,138,21%,5,8,-3
206,46,49,17,-3,68%,139,24%,6,6,0
206,26,27,16,-1,76%,126,33%,1,2,-1
206,42,52,9,-10,63%,131,24%,14,12,2
206,34,29,12,5,76%,141,31%,2,5,-3
206,44,45,10,-1,72%,122,14%,7,3,4
206,29,33,18,-4,68%,124,25%,4,8,-4
206,33,23,9,10,74%,138,27%,4,3,1
206,27,32,8,-5,72%,129,26%,2,4,-2
206,37,36,18,1,65%,133,11%,2,2,0
206,28,31,15,-3,68%,140,25%,3,4,-1
206,51,45,22,6,73%,138,30%,6,7,-1
206,41,38,33,3,81%,135,18%,5,3,2
206,67,58,16,9,74%,129,28%,7,7,0
206,58,74,36,-16,66%,131,19%,10,11,-1
206,46,40,20,6,75%,127,27%,5,7,-2
206,24,32,5,-8,66%,135,18%,8,9,-1
206,37,34,20,3,68%,141,25%,2,6,-4
206,28,38,15,-10,67%,135,21%,6,3,3
206,36,29,11,7,83%,139,22%,5,1,4
206,47,36,27,11,78%,130,34%,1,4,-3
207,34,30,20,4,71%,143,23%,4,3,1
207,36,25,11,11,80%,140,29%,2,2,0
207,42,49,16,-7,80%,140,24%,5,6,-1
207,43,51,14,-8,67%,143,22%,10,5,5
207,26,16,15,10,86%,144,23%,3,0,3
207,55,48,18,7,75%,148,27%,4,0,4
207,30,26,5,4,66%,128,12%,8,8,0
207,52,48,24,4,66%,132,18%,10,1,9
207,33,30,24,3,74%,135,24%,1,4,-3
207,37,37,15,0,75%,132,21%,5,3,2
207,32,31,5,1,71%,132,18%,2,6,-4
207,28,23,7,5,77%,141,23%,6,3,3
207,46,56,20,-10,60%,135,21%,2,10,-8
207,43,47,14,-4,63%,132,22%,3,16,-13
207,29,20,9,9,85%,138,20%,7,0,7
208,30,18,13,12,79%,148,22%,1,0,1
208,32,26,7,6,75%,138,24%,5,1,4
208,32,26,7,6,75%,138,24%,5,1,4
208,83,81,25,2,72%,132,19%,18,8,10
208,37,39,12,-2,71%,132,22%,12,10,2
208,32,35,11,-3,73%,159,20%,5,8,-3
208,16,14,5,2,70%,139,22%,4,2,2
208,33,24,7,9,71%,143,36%,3,5,-2
208,48,52,13,-4,69%,132,25%,8,4,4
208,27,34,11,-7,72%,118,40%,5,3,2
208,40,36,10,4,65%,130,28%,5,5,0
208,31,28,19,3,78%,146,37%,4,2,2
208,49,47,17,2,75%,130,25%,8,6,2
208,44,49,15,-5,59%,136,23%,10,8,2
208,26,27,18,-1,87%,143,23%,7,1,6
208,19,15,5,4,67%,131,26%,1,0,1
208,15,17,10,-2,67%,138,19%,2,0,2
209,49,46,21,3,70%,139,34%,7,5,2
209,33,27,19,6,76%,142,32%,2,4,-2
209,31,21,8,10,76%,138,27%,5,0,5
209,44,48,10,-4,62%,135,26%,10,7,3
209,13,14,9,-1,76%,141,11%,2,3,-1
209,46,45,30,1,76%,135,25%,10,8,2
209,55,62,23,-7,68%,139,27%,6,4,2
209,51,49,25,2,80%,144,33%,4,4,0
209,11,12,4,-1,87%,138,16%,2,2,0
209,51,45,23,6,74%,135,28%,8,7,1
209,49,40,17,9,73%,130,24%,5,4,1
209,31,26,12,5,77%,135,27%,4,9,-5
209,54,48,39,6,79%,128,19%,4,7,-3
209,45,50,18,-5,74%,135,20%,4,8,-4
209,30,30,13,0,76%,140,20%,2,3,-1
209,46,52,21,-6,74%,138,17%,14,9,5
209,30,35,8,-5,64%,140,22%,3,9,-6
210,29,23,14,6,84%,119,29%,4,1,3
210,29,23,14,6,84%,119,29%,4,1,3
210,46,54,10,-8,61%,128,24%,12,11,1
210,44,43,14,1,71%,135,32%,5,1,4
210,26,32,7,-6,67%,133,18%,4,5,-1
210,29,30,23,-1,70%,145,21%,2,2,0
210,29,32,9,-3,67%,132,30%,7,6,1
210,54,50,21,4,73%,144,32%,9,6,3
210,27,25,16,2,83%,136,39%,5,2,3
210,23,20,9,3,70%,146,27%,4,3,1
210,56,53,20,3,73%,135,49%,7,2,5
210,58,45,33,13,78%,135,26%,9,10,-1
210,38,34,19,4,69%,139,27%,4,10,-6
210,31,17,12,14,81%,156,21%,4,4,0
210,22,33,11,-11,72%,147,17%,3,3,0
210,44,46,15,-2,74%,138,29%,2,6,-4
210,49,40,31,9,87%,144,23%,3,2,1
210,43,47,14,-4,70%,141,17%,11,7,4
210,28,30,13,-2,57%,150,33%,3,2,1
210,75,83,29,-8,69%,146,22%,6,11,-5
210,31,25,13,6,68%,142,33%,3,4,-1
211,24,29,15,-5,68%,149,26%,1,3,-2
211,38,36,20,2,84%,136,29%,6,5,1
211,46,47,19,-1,63%,138,25%,6,7,-1
211,34,35,8,-1,65%,138,27%,4,4,0
211,24,29,15,-5,68%,149,26%,1,3,-2
211,33,35,20,-2,76%,136,30%,2,3,-1
211,50,42,27,8,82%,141,16%,3,6,-3
211,21,14,18,7,84%,144,15%,5,2,3
211,31,29,11,2,70%,151,16%,3,2,1
211,35,20,11,15,79%,126,26%,3,4,-1
211,21,13,5,8,77%,145,15%,0,0,0
211,56,51,8,5,66%,148,39%,4,8,-4
211,51,44,20,7,74%,129,22%,6,4,2
211,31,33,13,-2,72%,146,36%,6,2,4
211,36,42,10,-6,65%,138,27%,4,7,-3
211,83,75,23,8,72%,128,25%,14,10,4
211,78,75,14,3,63%,134,25%,20,21,-1
211,45,45,14,0,78%,145,23%,7,9,-2
211,32,24,11,8,90%,130,18%,2,2,0
211,68,58,21,10,77%,144,26%,3,6,-3
211,50,36,20,14,78%,129,32%,10,2,8
211,43,46,7,-3,66%,127,18%,14,7,7
211,30,28,8,2,66%,140,31%,6,2,4
212,29,31,8,-2,70%,146,42%,3,3,0
212,53,40,16,13,75%,144,19%,2,3,-1
212,36,40,12,-4,62%,142,27%,4,9,-5
212,43,41,12,2,71%,145,25%,3,4,-1
212,31,28,15,3,67%,138,29%,5,3,2
212,61,52,16,9,81%,144,21%,8,5,3
212,25,35,12,-10,68%,147,27%,4,6,-2
212,21,23,4,-2,63%,136,30%,1,5,-4
212,30,20,13,10,71%,149,35%,2,3,-1
212,83,76,27,7,67%,140,31%,13,11,2
212,28,31,7,-3,58%,141,27%,5,4,1
212,41,43,12,-2,72%,141,39%,2,6,-4
213,18,18,9,0,77%,151,41%,1,2,-1
213,27,32,11,-5,68%,144,30%,4,5,-1
213,79,75,32,4,71%,129,23%,14,6,8
213,36,36,19,0,69%,154,33%,4,3,1
213,33,23,6,10,80%,144,29%,4,2,2
213,23,25,12,-2,77%,147,32%,2,3,-1
213,37,41,10,-4,66%,143,23%,5,8,-3
213,47,44,16,3,65%,138,35%,4,5,-1
213,45,47,24,-2,72%,140,14%,3,5,-2
213,31,33,15,-2,72%,145,26%,8,11,-3
214,53,54,8,-1,66%,133,22%,10,9,1
214,30,18,14,12,84%,149,20%,2,1,1
214,33,35,14,-2,70%,136,22%,8,3,5
214,52,47,30,5,75%,162,26%,3,2,1
214,18,10,7,8,77%,133,46%,0,0,0
214,41,50,12,-9,58%,144,15%,12,13,-1
214,33,30,7,3,71%,136,26%,3,4,-1
214,56,59,16,-3,63%,141,21%,16,17,-1
214,48,53,11,-5,64%,147,20%,10,17,-7
214,69,68,37,1,74%,138,19%,8,8,0
214,41,37,4,4,63%,149,21%,9,8,1
214,32,30,8,2,73%,133,14%,8,2,6
214,52,40,12,12,75%,146,28%,8,2,6
214,35,24,5,11,64%,139,25%,4,5,-1
215,57,47,16,10,69%,138,22%,6,3,3
215,31,37,11,-6,64%,143,21%,3,2,1
215,33,30,12,3,64%,136,37%,3,4,-1
215,48,43,7,5,68%,141,17%,3,4,-1
215,52,54,16,-2,76%,152,18%,11,11,0
215,30,29,10,1,74%,132,20%,7,6,1
215,32,36,18,-4,71%,142,22%,7,4,3
215,43,31,19,12,75%,139,29%,3,1,2
215,21,17,10,4,62%,153,55%,2,5,-3
215,18,20,4,-2,75%,139,19%,2,4,-2
215,32,27,10,5,71%,147,23%,6,5,1
215,61,62,13,-1,68%,142,24%,18,19,-1
215,54,45,13,9,68%,141,26%,6,7,-1
215,29,22,12,7,89%,142,22%,3,1,2
215,30,29,5,1,63%,134,31%,12,9,3
215,50,39,24,11,69%,128,29%,3,4,-1
215,53,42,18,11,70%,129,25%,7,7,0
215,27,20,11,7,77%,128,35%,3,1,2
215,31,26,6,5,74%,137,27%,5,6,-1
215,32,29,12,3,78%,129,31%,2,3,-1
216,56,54,12,2,63%,145,34%,12,11,1
216,32,29,19,3,77%,141,22%,4,3,1
216,32,29,19,3,77%,141,22%,4,3,1
216,43,52,15,-9,71%,147,33%,6,5,1
216,55,38,19,17,79%,141,25%,7,0,7
216,16,19,7,-3,67%,140,22%,3,1,2
216,49,51,24,-2,69%,149,34%,6,8,-2
216,84,70,29,14,67%,132,23%,8,7,1
216,53,44,17,9,71%,142,25%,8,5,3
216,35,29,18,6,75%,142,35%,2,4,-2
216,30,31,5,-1,62%,152,27%,4,6,-2
217,31,25,15,6,79%,145,34%,5,3,2
217,38,34,13,4,80%,154,22%,2,1,1
217,32,25,8,7,74%,131,27%,6,4,2
217,22,22,1,0,71%,140,30%,7,5,2
217,55,48,20,7,76%,151,33%,6,8,-2
217,16,13,3,3,81%,145,17%,6,2,4
217,30,25,8,5,87%,152,20%,11,4,7
217,49,44,14,5,68%,152,35%,3,5,-2
217,31,36,13,-5,60%,131,24%,1,4,-3
217,26,29,4,-3,56%,141,31%,7,10,-3
217,42,34,17,8,81%,132,34%,3,0,3
217,52,49,17,3,72%,138,25%,5,3,2
217,47,44,26,3,70%,155,34%,2,4,-2
217,14,11,8,3,85%,151,36%,3,3,0
218,27,29,14,-2,69%,137,29%,5,3,2
218,30,23,13,7,76%,147,35%,6,1,5
218,27,10,8,17,90%,148,33%,0,0,0
218,16,18,4,-2,79%,158,21%,2,3,-1
218,53,45,37,8,72%,156,22%,7,9,-2
218,47,39,15,8,72%,133,30%,8,5,3
218,46,36,18,10,75%,141,33%,7,3,4
218,31,27,20,4,77%,138,20%,2,3,-1
218,33,34,20,-1,73%,146,17%,4,1,3
218,34,37,16,-3,74%,147,16%,6,3,3
218,18,10,7,8,81%,162,32%,2,0,2
218,55,59,17,-4,75%,134,32%,9,6,3
218,29,21,8,8,81%,151,34%,4,3,1
218,28,18,10,10,81%,141,23%,5,0,5
218,30,24,13,6,67%,126,33%,2,4,-2
218,48,48,15,0,57%,141,32%,7,7,0
218,42,35,17,7,78%,125,26%,5,5,0
218,81,77,21,4,71%,144,30%,12,13,-1
219,32,29,2,3,65%,135,34%,6,5,1
219,35,32,7,3,68%,150,22%,4,2,2
219,43,46,17,-3,66%,139,28%,8,7,1
219,31,32,8,-1,68%,155,27%,1,3,-2
219,20,18,3,2,69%,143,33%,1,1,0
219,28,33,7,-5,65%,141,35%,3,4,-1
219,21,14,7,7,73%,143,31%,3,2,1
219,28,27,9,1,76%,138,30%,6,4,2
219,43,28,12,15,78%,144,14%,4,4,0
219,44,39,24,5,82%,142,22%,6,4,2
219,86,74,35,12,69%,142,27%,12,13,-1
219,33,37,7,-4,73%,139,28%,7,8,-1
220,29,33,7,-4,68%,142,35%,6,4,2
220,35,20,13,15,85%,150,22%,3,3,0
220,32,32,5,0,68%,142,27%,9,4,5
220,33,37,2,-4,55%,134,26%,7,9,-2
220,34,41,8,-7,67%,150,35%,11,7,4
220,36,30,16,6,75%,129,17%,4,2,2
220,33,32,9,1,67%,137,43%,5,3,2
220,21,24,11,-3,87%,144,41%,3,1,2
220,34,29,24,5,74%,134,44%,4,5,-1
220,45,51,11,-6,65%,141,17%,15,13,2
220,53,49,8,4,68%,142,30%,10,5,5
220,43,36,14,7,75%,146,40%,2,1,1
220,30,33,10,-3,73%,140,33%,6,3,3
220,28,32,6,-4,58%,149,23%,6,2,4
220,47,51,12,-4,64%,154,38%,9,5,4
220,48,51,18,-3,73%,148,30%,4,4,0
220,33,25,20,8,81%,152,25%,1,3,-2
221,37,34,11,3,67%,149,17%,8,8,0
221,46,55,10,-9,63%,147,23%,10,5,5
221,27,31,3,-4,61%,139,13%,7,8,-1
221,52,47,16,5,73%,155,19%,8,8,0
221,33,28,1,5,66%,141,48%,8,3,5
221,34,33,11,1,64%,137,19%,3,4,-1
221,35,25,5,10,79%,144,24%,8,5,3
221,34,23,9,11,77%,145,33%,4,2,2
221,27,34,10,-7,69%,151,15%,5,5,0
221,72,69,23,3,72%,148,30%,9,6,3
221,46,39,13,7,75%,150,21%,7,6,1
221,53,35,7,18,82%,149,29%,9,3,6
221,83,79,16,4,68%,139,22%,32,17,15
221,51,37,13,14,77%,152,31%,6,7,-1
222,33,23,10,10,84%,141,30%,5,0,5
222,56,51,7,5,67%,142,26%,13,10,3
222,15,15,5,0,65%,157,21%,2,3,-1
222,20,18,4,2,63%,132,22%,4,1,3
222,27,30,8,-3,68%,146,23%,2,3,-1
222,12,13,0,-1,69%,143,31%,0,1,-1
222,61,61,18,0,72%,154,48%,10,3,7
222,53,60,26,-7,71%,146,42%,9,8,1
222,58,40,19,18,74%,159,37%,3,5,-2
222,32,19,18,13,82%,139,23%,5,1,4
222,31,27,12,4,78%,141,19%,4,1,3
222,31,25,17,6,78%,145,27%,3,6,-3
222,53,48,5,5,58%,136,22%,11,8,3
223,50,54,12,-4,72%,152,27%,9,5,4
223,29,18,9,11,79%,145,32%,2,2,0
223,46,38,12,8,73%,136,19%,11,9,2
223,34,21,12,13,88%,152,29%,3,2,1
223,27,17,5,10,78%,144,19%,6,4,2
223,28,26,3,2,64%,146,41%,3,3,0
223,36,17,18,19,88%,144,26%,1,0,1
223,37,25,6,12,76%,148,20%,2,2,0
223,47,34,16,13,82%,133,29%,6,3,3
223,36,28,8,8,67%,141,35%,2,6,-4
223,38,32,5,6,58%,144,19%,13,12,1
223,19,14,9,5,67%,145,24%,2,1,1
223,30,12,14,18,87%,126,25%,3,2,1
223,32,32,8,0,73%,156,22%,7,4,3
224,29,28,11,1,73%,159,20%,2,2,0
224,50,46,16,4,73%,151,24%,10,5,5
224,58,59,12,-1,73%,128,24%,11,10,1
224,31,29,16,2,73%,138,22%,7,6,1
224,50,45,11,5,61%,160,36%,7,9,-2
224,35,24,10,11,84%,160,28%,2,3,-1
224,26,9,6,17,94%,143,18%,4,1,3
224,53,52,24,1,70%,147,26%,4,7,-3
224,32,26,16,6,80%,152,21%,4,6,-2
225,29,32,14,-3,78%,150,17%,4,5,-1
225,34,34,5,0,67%,139,37%,5,3,2
225,59,55,4,4,66%,146,38%,13,18,-5
225,33,22,13,11,72%,140,32%,4,2,2
225,49,39,15,10,78%,149,12%,4,2,2
225,28,33,9,-5,64%,148,23%,5,2,3
225,32,19,15,13,79%,150,26%,7,1,6
225,46,45,13,1,70%,156,30%,6,4,2
225,18,22,5,-4,62%,152,19%,4,4,0
225,56,50,14,6,69%,140,25%,7,9,-2
225,55,51,24,4,74%,141,17%,13,3,10
225,32,30,5,2,61%,143,23%,3,0,3
225,52,45,5,7,61%,148,48%,16,11,5
225,17,16,3,1,60%,134,21%,0,2,-2
226,17,13,2,4,71%,134,18%,4,5,-1
226,58,40,14,18,81%,141,27%,9,2,7
226,25,14,12,11,90%,136,19%,4,0,4
226,34,24,19,10,86%,142,26%,5,5,0
226,38,32,7,6,67%,152,24%,6,10,-4
226,64,55,15,9,68%,156,25%,9,7,2
226,53,49,20,4,73%,145,18%,7,6,1
226,48,40,15,8,75%,149,26%,6,2,4
227,36,27,5,9,70%,144,29%,9,6,3
227,51,53,11,-2,75%,150,39%,9,8,1
227,47,44,12,3,72%,158,34%,9,4,5
227,32,31,9,1,70%,159,26%,5,5,0
227,31,26,9,5,87%,151,27%,2,2,0
227,37,32,7,5,74%,147,36%,4,2,2
227,42,39,24,3,64%,150,35%,3,8,-5
227,18,13,8,5,71%,172,36%,1,1,0
227,35,27,3,8,63%,151,53%,4,5,-1
227,30,33,13,-3,72%,158,20%,6,5,1
227,36,34,7,2,71%,141,27%,8,11,-3
227,32,23,8,9,71%,152,21%,5,1,4
228,90,75,29,15,74%,140,20%,11,7,4
228,33,27,13,6,71%,162,21%,3,0,3
228,48,49,14,-1,73%,155,24%,11,4,7
228,33,21,12,12,79%,154,26%,3,1,2
228,26,32,3,-6,58%,169,21%,6,3,3
228,35,32,13,3,80%,145,28%,10,6,4
228,44,34,8,10,67%,144,23%,7,5,2
228,31,22,5,9,69%,145,26%,7,8,-1
228,62,39,25,23,85%,156,27%,6,2,4
228,52,44,12,8,69%,147,36%,2,7,-5
228,50,48,25,2,69%,141,21%,4,7,-3
228,52,56,6,-4,55%,159,38%,11,12,-1
229,37,29,10,8,80%,145,22%,5,6,-1
229,52,40,14,12,74%,150,31%,5,7,-2
229,48,39,8,9,66%,145,30%,9,9,0
229,31,21,10,10,83%,153,37%,4,1,3
229,31,31,5,0,63%,147,33%,3,2,1
229,45,41,18,4,73%,148,24%,10,9,1
229,35,33,7,2,67%,149,34%,5,4,1
229,34,35,10,-1,74%,159,24%,8,11,-3
230,31,22,8,9,74%,143,16%,4,4,0
230,37,33,5,4,61%,142,18%,9,9,0
230,32,20,16,12,80%,147,21%,4,4,0
230,55,37,10,18,71%,144,25%,10,7,3
230,51,44,14,7,73%,151,23%,14,5,9
230,36,37,12,-1,72%,162,31%,5,9,-4
230,16,21,11,-5,63%,159,16%,5,4,1
230,31,23,19,8,76%,155,15%,5,5,0
230,17,16,2,1,52%,148,27%,1,2,-1
230,38,28,10,10,84%,149,29%,5,1,4
230,34,26,10,8,77%,154,31%,7,9,-2
230,34,27,6,7,69%,134,23%,7,6,1
230,38,30,23,8,85%,152,23%,3,2,1
230,53,45,23,8,78%,159,30%,4,6,-2
230,37,29,4,8,77%,155,44%,8,4,4
231,51,48,13,3,68%,155,27%,14,5,9
231,46,50,20,-4,75%,142,16%,7,11,-4
231,31,26,12,5,79%,148,16%,11,7,4
231,48,37,17,11,72%,163,28%,2,3,-1
231,54,50,18,4,66%,146,35%,7,10,-3
231,34,31,9,3,77%,164,35%,4,2,2
231,23,20,4,3,70%,164,20%,6,4,2
231,37,28,7,9,71%,132,29%,3,2,1
231,39,44,14,-5,63%,160,27%,3,10,-7
232,42,36,8,6,79%,143,13%,7,7,0
232,50,47,16,3,68%,160,27%,9,14,-5
232,38,26,5,12,69%,146,23%,7,11,-4
232,58,52,20,6,65%,161,22%,4,8,-4
232,35,27,10,8,85%,142,28%,4,1,3
232,16,11,7,5,78%,158,35%,1,1,0
232,50,52,23,-2,65%,155,19%,8,7,1
232,38,32,17,6,78%,154,41%,4,5,-1
232,89,76,20,13,76%,153,16%,16,11,5
232,59,46,7,13,64%,152,34%,9,14,-5
232,37,27,5,10,73%,144,43%,1,2,-1
232,57,51,10,6,72%,154,22%,13,6,7
233,36,33,10,3,69%,154,11%,8,6,2
233,50,47,23,3,73%,163,28%,4,3,1
233,43,33,30,10,79%,150,30%,2,4,-2
233,29,28,5,1,64%,152,29%,4,4,0
233,44,35,17,9,69%,148,24%,3,5,-2
233,31,19,13,12,80%,153,39%,2,2,0
233,34,29,4,5,67%,160,30%,9,9,0
233,57,47,19,10,72%,156,24%,10,4,6
233,49,30,10,19,79%,144,28%,4,10,-6
233,38,33,15,5,71%,146,14%,5,5,0
233,53,45,15,8,70%,151,19%,10,10,0
234,36,22,11,14,77%,148,34%,3,0,3
234,37,25,11,12,77%,151,39%,5,4,1
234,17,17,4,0,62%,136,29%,5,4,1
234,31,21,12,10,83%,138,21%,9,3,6
234,30,33,10,-3,66%,143,15%,1,2,-1
234,30,16,12,14,83%,150,15%,4,0,4
234,25,22,5,3,81%,158,38%,9,4,5
234,33,28,17,5,71%,165,38%,0,5,-5
234,23,20,13,3,80%,172,27%,2,0,2
234,57,51,29,6,80%,150,23%,8,9,-1
234,62,48,22,14,79%,151,37%,6,8,-2
234,32,25,6,7,67%,142,19%,7,6,1
234,32,28,19,4,83%,141,37%,4,0,4
235,37,31,6,6,68%,150,40%,4,0,4
235,35,35,7,0,69%,149,22%,10,9,1
235,37,31,6,6,68%,150,40%,4,0,4
235,51,37,13,14,68%,142,24%,8,7,1
235,32,32,16,0,82%,167,20%,7,1,6
235,57,50,5,7,74%,163,41%,16,5,11
235,38,17,22,21,88%,147,44%,3,2,1
235,44,44,18,0,71%,162,17%,5,4,1
235,39,22,11,17,85%,142,29%,6,2,4
235,40,37,16,3,73%,145,25%,5,3,2
235,53,34,10,19,78%,164,25%,3,5,-2
235,57,49,27,8,77%,151,21%,3,6,-3
235,26,17,11,9,77%,143,31%,3,1,2
235,16,10,7,6,80%,152,30%,2,2,0
235,51,53,14,-2,64%,146,31%,11,12,-1
235,29,23,11,6,75%,145,24%,7,3,4
235,50,41,14,9,71%,149,26%,7,11,-4
235,35,18,2,17,69%,149,22%,4,3,1
235,22,27,6,-5,60%,152,27%,3,5,-2
235,50,40,17,10,82%,159,30%,10,3,7
235,35,25,7,10,80%,155,28%,1,5,-4
235,51,51,20,0,67%,163,38%,3,7,-4
235,52,35,16,17,83%,147,24%,3,8,-5
235,17,12,0,5,55%,149,47%,5,2,3
236,40,38,15,2,75%,162,17%,5,6,-1
236,32,19,14,13,89%,141,27%,3,1,2
236,39,33,18,6,80%,147,27%,2,5,-3
236,38,26,3,12,77%,154,23%,4,7,-3
236,28,24,11,4,74%,153,25%,7,3,4
236,32,22,4,10,74%,152,37%,4,1,3
236,58,50,10,8,70%,148,36%,15,9,6
236,86,71,27,15,73%,154,32%,11,5,6
236,35,33,7,2,71%,154,15%,8,3,5
237,32,24,13,8,75%,142,30%,6,2,4
237,55,41,24,14,75%,161,19%,4,4,0
237,35,17,5,18,86%,153,58%,3,2,1
237,17,16,4,1,71%,148,15%,5,0,5
237,34,24,8,10,89%,157,40%,4,2,2
237,27,22,12,5,91%,163,14%,9,6,3
237,61,49,19,12,71%,148,44%,5,6,-1
237,41,35,6,6,68%,154,31%,7,3,4
238,28,20,11,8,81%,158,23%,4,3,1
238,39,29,11,10,77%,153,21%,9,6,3
238,35,23,12,12,83%,149,16%,5,1,4
238,30,21,12,9,91%,152,33%,2,3,-1
238,22,20,5,2,81%,161,29%,4,1,3
238,17,18,3,-1,64%,161,27%,4,4,0
238,20,18,3,2,71%,148,32%,4,3,1
238,56,53,13,3,69%,157,32%,10,11,-1
238,32,22,13,10,76%,141,19%,6,5,1
238,35,19,4,16,76%,154,24%,4,3,1
238,45,36,12,9,81%,162,22%,4,1,3
238,53,40,17,13,83%,150,32%,8,5,3
239,54,45,19,9,71%,155,25%,6,8,-2
239,53,39,25,14,74%,157,27%,4,6,-2
239,36,32,4,4,79%,159,33%,7,3,4
239,52,38,16,14,81%,157,29%,5,5,0
239,53,44,12,9,76%,152,28%,11,5,6
239,33,34,9,-1,63%,155,29%,6,9,-3
239,31,20,6,11,74%,156,31%,3,2,1
239,21,19,2,2,75%,141,35%,5,3,2
239,64,40,22,24,76%,153,30%,10,7,3
239,38,29,11,9,79%,167,21%,5,10,-5
239,89,76,15,13,69%,164,31%,14,13,1
239,70,66,45,4,64%,154,21%,6,9,-3
239,61,52,4,9,71%,140,39%,16,9,7
239,53,44,16,9,66%,157,27%,7,4,3
239,38,25,16,13,77%,159,18%,5,0,5
239,33,31,6,2,61%,148,30%,10,6,4
240,37,37,5,0,59%,143,21%,10,8,2
240,59,51,13,8,74%,153,25%,11,13,-2
240,36,23,5,13,77%,144,27%,7,5,2
240,34,22,14,12,90%,159,12%,5,1,4
240,16,17,8,-1,77%,161,30%,7,1,6
240,12,5,8,7,93%,152,24%,1,0,1
240,74,59,33,15,77%,156,23%,12,8,4
240,33,20,10,13,84%,160,32%,2,1,1
240,40,22,5,18,77%,157,27%,2,3,-1
240,58,38,21,20,81%,164,17%,9,7,2
241,40,28,2,12,73%,144,26%,8,5,3
241,23,21,5,2,71%,155,26%,7,6,1
241,31,18,14,13,88%,152,22%,3,1,2
241,30,31,6,-1,70%,156,22%,6,2,4
241,30,29,15,1,72%,163,22%,3,4,-1
241,52,48,26,4,80%,162,14%,10,6,4
241,33,20,12,13,84%,169,27%,8,6,2
241,24,17,6,7,73%,169,23%,1,3,-2
242,34,31,13,3,68%,160,22%,4,7,-3
242,33,28,12,5,72%,156,27%,6,0,6
242,16,11,2,5,83%,149,34%,3,1,2
242,54,49,19,5,71%,160,18%,7,8,-1
242,38,34,3,4,64%,148,41%,7,4,3
242,40,28,10,12,76%,160,28%,3,2,1
242,76,64,24,12,74%,152,22%,12,4,8
242,51,47,10,4,75%,172,30%,8,3,5
242,48,35,27,13,79%,150,25%,8,8,0
242,22,19,2,3,63%,152,23%,4,7,-3
243,40,26,7,14,77%,153,27%,6,6,0
243,17,16,6,1,71%,167,38%,2,1,1
243,29,33,14,-4,71%,164,14%,3,6,-3
243,34,32,13,2,84%,160,24%,4,0,4
243,35,20,23,15,83%,160,45%,6,3,3
243,34,25,9,9,78%,151,21%,6,5,1
243,43,44,14,-1,65%,151,29%,7,7,0
243,34,33,10,1,74%,147,17%,10,9,1
243,31,31,4,0,64%,134,27%,6,3,3
243,80,72,16,8,72%,150,24%,18,14,4
243,37,41,17,-4,68%,164,27%,2,5,-3
244,35,21,8,14,72%,147,19%,8,4,4
244,35,26,5,9,75%,144,22%,7,2,5
244,33,31,6,2,75%,168,25%,6,4,2
244,58,44,16,14,71%,164,29%,7,7,0
244,19,14,4,5,71%,157,10%,5,0,5
244,46,39,13,7,69%,163,24%,6,1,5
244,36,34,7,2,64%,155,26%,9,6,3
244,24,18,12,6,90%,161,21%,7,4,3
244,37,22,13,15,86%,164,35%,4,0,4
245,29,31,7,-2,59%,156,25%,5,8,-3
245,29,31,7,-2,59%,156,25%,5,8,-3
245,34,27,9,7,77%,151,24%,6,5,1
245,35,34,9,1,73%,153,18%,12,6,6
245,51,44,23,7,75%,147,18%,7,5,2
245,24,13,9,11,79%,164,27%,2,0,2
245,42,36,13,6,65%,163,30%,4,5,-1
245,43,40,23,3,76%,157,30%,9,5,4
245,35,23,4,12,81%,148,32%,4,2,2
245,39,28,10,11,77%,168,39%,3,3,0
245,67,51,12,16,72%,153,26%,8,10,-2
245,59,51,17,8,70%,164,31%,10,3,7
245,25,24,7,1,80%,161,18%,5,5,0
246,28,25,14,3,77%,164,18%,11,5,6
246,19,17,4,2,73%,160,30%,4,1,3
246,38,29,17,9,71%,173,30%,4,2,2
246,17,9,11,8,89%,169,40%,2,0,2
246,32,23,21,9,82%,145,29%,4,5,-1
246,69,54,26,15,74%,158,26%,5,13,-8
246,33,22,8,11,83%,156,26%,3,3,0
246,45,36,10,9,75%,152,20%,6,7,-1
247,50,42,21,8,73%,168,20%,13,5,8
247,45,35,13,10,69%,168,30%,6,3,3
247,39,24,8,15,79%,167,26%,2,2,0
247,34,23,7,11,74%,146,30%,4,6,-2
247,49,37,7,12,75%,169,27%,13,6,7
247,58,54,18,4,69%,158,26%,13,15,-2
247,32,21,20,11,80%,136,20%,6,2,4
247,35,22,19,13,85%,147,28%,2,1,1
248,49,48,16,1,78%,171,21%,8,9,-1
248,30,33,11,-3,74%,173,38%,5,6,-1
248,48,37,27,11,75%,156,27%,9,2,7
